SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,Name,sim_to_lead,final_score
Cn1c(N)nc2cc(CCc3ccccc3C#N)cc(C#N)c21,Cn1c(N)nc2cc(CCc3ccccc3Cl)cc(C#N)c21,0.7887323943661971,3.7272677421569824,mmp,Cn1c(N)nc2cc(CCc3ccccc3Cl)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0075,0.8405797101449275,0.8405797101449275
Cn1c(N)nc2cc(CCc3ccccc3C#N)cc(C#N)c21,COc1ccccc1CCc1cc(C#N)c2c(c1)nc(N)n2C,0.7567567567567568,3.86133337020874,highsim,COc1ccccc1CCc1cc(C#N)c2c(c1)nc(N)n2C,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0036,0.8405797101449275,0.8405797101449275
Cn1c(N)nc2cc(Cc3ccccc3Cl)cc(C#N)c21,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,0.7313432835820896,3.7697479724884033,highsim,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0045,0.7794117647058824,0.7794117647058824
Cn1c(N)nc2cc(Cc3ccccc3Cl)cc(C#N)c21,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,0.7313432835820896,3.7697479724884033,highsim,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0045,0.7794117647058824,0.7794117647058824
Cn1c(N)nc2cc(Cc3ccccc3Cl)cc(C#N)c21,Cn1c(N)nc2cc(CCc3ccccc3Cl)cc(C#N)c21,0.8333333333333334,3.70665979385376,highsim,Cn1c(N)nc2cc(CCc3ccccc3Cl)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0039,0.7794117647058824,0.7794117647058824
Cn1c(N)nc2cc(COc3ccccc3C#N)cc(C#N)c21,Cn1c(N)nc2cc(COc3ccccc3)cc(C#N)c21,0.7123287671232876,4.365894794464111,highsim,Cn1c(N)nc2cc(COc3ccccc3)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0045,0.7638888888888888,0.7638888888888888
COc1ccccc1Cc1cc(C#N)c2c(c1)nc(N)n2C,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,0.7,5.785610198974609,medsim,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0037,0.7464788732394366,0.7464788732394366
COc1ccccc1Cc1cc(C#N)c2c(c1)nc(N)n2C,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,0.7,5.785610198974609,medsim,Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0037,0.7464788732394366,0.7464788732394366
Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,Cn1c(N)nc2cc(CCc3ccccc3Cl)cc(C#N)c21,0.6527777777777778,4.214386463165283,medsim,Cn1c(N)nc2cc(CCc3ccccc3Cl)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0026,0.7,0.7
Cn1c(N)nc2cc(Cc3ccccc3)cc(C#N)c21,Cn1c(N)nc2cc(COc3ccccc3)cc(C#N)c21,0.746268656716418,4.524555206298828,sim,Cn1c(N)nc2cc(COc3ccccc3)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0014,0.7,0.7
