,SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,Name,sim_to_lead,final_score
0,O=c1[nH]nc(-c2ccc(O)cc2)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.5416666666666666,2.8840832710266118,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0000,0.28735632183908044,0.28735632183908044
1,COc1ccccc1-c1n[nH]c(=O)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.6739130434782609,2.913796186447144,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0001,0.3372093023255814,0.3372093023255814
2,O=c1[nH]nc(-c2ccc(Cl)cc2O)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.6170212765957447,3.301278591156006,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0002,0.29545454545454547,0.29545454545454547
3,O=c1[nH]nc(-c2ccc(F)cc2)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.48,3.45369815826416,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0003,0.2727272727272727,0.2727272727272727
4,O=c1[nH]nc(-c2cccc(Cl)c2)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.5102040816326531,3.4639222621917725,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0004,0.3023255813953488,0.3023255813953488
5,O=c1[nH]nc(-c2cccc(O)c2)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.574468085106383,3.5892343521118164,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0005,0.3176470588235294,0.3176470588235294
6,O=c1[nH]nc(-c2cc(Cl)ccc2O)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.6170212765957447,3.650367498397827,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0006,0.29545454545454547,0.29545454545454547
7,Nc1ccccc1-c1n[nH]c(=O)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.7209302325581395,3.6952548027038574,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0007,0.3333333333333333,0.3333333333333333
8,O=c1[nH]nc(-c2ccc(Cl)cc2)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.48,3.7592344284057617,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0008,0.2727272727272727,0.2727272727272727
9,O=c1[nH]nc(-c2cccc(F)c2)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.5102040816326531,3.884739875793457,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0009,0.3023255813953488,0.3023255813953488
10,Cn1c(-c2ccccc2O)n[nH]c1=O,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.5510204081632653,3.892561435699463,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0010,0.2391304347826087,0.2391304347826087
11,Cc1ccc(-c2n[nH]c(=O)[nH]2)c(O)c1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.6170212765957447,4.068150043487549,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0011,0.29545454545454547,0.29545454545454547
12,Cc1ccccc1-c1n[nH]c(=O)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.7209302325581395,4.16010332107544,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0012,0.3493975903614458,0.3493975903614458
13,O=c1[nH]nc(-c2ccc(F)cc2O)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.6170212765957447,4.192795753479004,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0013,0.29545454545454547,0.29545454545454547
14,O=c1[nH]nc(-c2ccccc2[N+](=O)[O-])[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.6458333333333334,4.209975242614746,sim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0014,0.32954545454545453,0.32954545454545453
