SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,Name,sim_to_lead,final_score
O=c1[nH]nc(-c2ccccc2CO)[nH]1,O=c1[nH]nc(-c2ccccc2O)[nH]1,0.7111111111111111,2.4714550971984863,highsim,O=c1[nH]nc(-c2ccccc2O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0028,0.36904761904761907,0.36904761904761907
O=c1[nH]nc(-c2ccccc2CO)[nH]1,Cc1ccccc1-c1n[nH]c(=O)[nH]1,0.6739130434782609,4.390727519989014,highsim,Cc1ccccc1-c1n[nH]c(=O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0026,0.36904761904761907,0.36904761904761907
O=c1[nH]nc(-c2ccccc2CO)[nH]1,O=c1[nH]nc(-c2ccccc2F)[nH]1,0.6739130434782609,5.594864368438721,highsim,O=c1[nH]nc(-c2ccccc2F)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0029,0.36904761904761907,0.36904761904761907
O=c1[nH]nc(-c2ccccc2CO)[nH]1,O=c1[nH]nc(-c2ccccc2Cl)[nH]1,0.6,5.526916027069092,highsim,O=c1[nH]nc(-c2ccccc2Cl)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0030,0.36904761904761907,0.36904761904761907
O=c1[nH]nc(-c2ccccc2CO)[nH]1,O=c1[nH]nc(-c2ccccc2Br)[nH]1,0.6739130434782609,5.0456624031066895,highsim,O=c1[nH]nc(-c2ccccc2Br)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0030,0.36904761904761907,0.36904761904761907
O=c1[nH]nc(-c2cc(-c3ccccc3)ccn2)[nH]1,O=c1[nH]nc(-c2cccc(-c3ccccc3)c2)[nH]1,0.6825396825396826,4.718810081481934,highsim,O=c1[nH]nc(-c2cccc(-c3ccccc3)c2)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0050,0.3617021276595745,0.3617021276595745
O=C(O)c1ccccc1-c1n[nH]c(=O)[nH]1,Cc1ccccc1-c1n[nH]c(=O)[nH]1,0.6458333333333334,4.471923828125,sim,Cc1ccccc1-c1n[nH]c(=O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0017,0.36046511627906974,0.36046511627906974
O=C(O)c1ccccc1-c1n[nH]c(=O)[nH]1,O=c1[nH]nc(-c2ccccc2[N+](=O)[O-])[nH]1,0.6153846153846154,6.056515216827393,highsim,O=c1[nH]nc(-c2ccccc2[N+](=O)[O-])[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0037,0.36046511627906974,0.36046511627906974
O=c1[nH]nc(-c2ccccc2N2CCCC2)[nH]1,O=c1[nH]nc(-c2ccccc2[N+](=O)[O-])[nH]1,0.5081967213114754,5.263384819030762,mmp,O=c1[nH]nc(-c2ccccc2[N+](=O)[O-])[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('C1CCNC1', 112428), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0065,0.358695652173913,0.358695652173913
CCc1ccccc1-c1n[nH]c(=O)[nH]1,Cc1ccccc1-c1n[nH]c(=O)[nH]1,0.7111111111111111,2.469665050506592,highsim,Cc1ccccc1-c1n[nH]c(=O)[nH]1,"[('O=c1[nH]cn[nH]1', 2131), ('c1ccccc1', 2260082)]",O=c1[nH]cn[nH]1,2131,MOL0024,0.35294117647058826,0.35294117647058826
