SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,Name,sim_to_lead,final_score
CC1(C)C(=O)Nc2c(O)cccc21,CN1c2cccc(O)c2NC(=O)C1(C)C,0.5957446808510638,1.684064507484436,scaffold,CN1c2cccc(O)c2NC(=O)C1(C)C,"[('O=C1Cc2ccccc2N1', 3204)]",O=C1Cc2ccccc2N1,3204,MOL0044,0.6590909090909091,0.6590909090909091
CNc1cccc2c1NC(=O)C(C)(C)O2,CNc1cccc2c1OC(C)(C)C(=O)N2,0.673469387755102,4.379347324371338,sim,CNc1cccc2c1OC(C)(C)C(=O)N2,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0015,0.6458333333333334,0.6458333333333334
CNc1cccc2c1NC(=O)C(C)(C)O2,CNc1cccc2c1OC(C)(C)C(=O)N2,0.673469387755102,4.379347324371338,sim,CNc1cccc2c1OC(C)(C)C(=O)N2,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0015,0.6458333333333334,0.6458333333333334
CNc1cccc2c1NC(=O)C(C)(C)N2,COc1cccc2c1NC(=O)C(C)(C)N2,0.7346938775510204,4.325226306915283,highsim,COc1cccc2c1NC(=O)C(C)(C)N2,"[('O=C1CNc2ccccc2N1', 1263)]",O=C1CNc2ccccc2N1,1263,MOL0037,0.6458333333333334,0.6458333333333334
CNc1cccc2c1NC(=O)C(C)(C)O2,COc1cccc2c1NC(=O)C(C)(C)O2,0.6666666666666666,4.180442810058594,highsim,COc1cccc2c1NC(=O)C(C)(C)O2,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0036,0.6458333333333334,0.6458333333333334
CNc1cccc2c1NC(=O)C(C)(C)O2,COc1cccc2c1NC(=O)C(C)(C)O2,0.6666666666666666,4.180442810058594,highsim,COc1cccc2c1NC(=O)C(C)(C)O2,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0036,0.6458333333333334,0.6458333333333334
CNc1cccc2c1NC(=O)C(C)(C)O2,COc1cccc2c1NC(=O)C(C)(C)O2,0.6666666666666666,4.180442810058594,highsim,COc1cccc2c1NC(=O)C(C)(C)O2,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0036,0.6458333333333334,0.6458333333333334
CNc1cccc2c1NC(=O)C(C)(C)N2,CC1(C)Nc2cccc(Cl)c2NC1=O,0.6530612244897959,6.136035919189453,highsim,CC1(C)Nc2cccc(Cl)c2NC1=O,"[('O=C1CNc2ccccc2N1', 1263)]",O=C1CNc2ccccc2N1,1263,MOL0032,0.6458333333333334,0.6458333333333334
CC1(C)C(=O)Nc2ccccc21,CN1c2cccc(O)c2NC(=O)C1(C)C,0.3518518518518518,3.686059236526489,scaffold,CN1c2cccc(O)c2NC(=O)C1(C)C,"[('O=C1Cc2ccccc2N1', 3204)]",O=C1Cc2ccccc2N1,3204,MOL0049,0.5106382978723404,0.5106382978723404
CN1c2cccc(Cl)c2NC(=O)C1(C)C,CN1c2cccc(O)c2NC(=O)C1(C)C,0.5384615384615384,4.589305400848389,sim,CN1c2cccc(O)c2NC(=O)C1(C)C,"[('O=C1CNc2ccccc2N1', 1263)]",O=C1CNc2ccccc2N1,1263,MOL0014,0.4716981132075472,0.4716981132075472
