SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,Name,sim_to_lead,final_score
CC1(C)Nc2cccc(O)c2NC1=O,O=C1Cc2cccc(O)c2N1,0.4375,4.83144998550415,scaffold,O=C1Cc2cccc(O)c2N1,"[('O=C1CNc2ccccc2N1', 1263)]",O=C1CNc2ccccc2N1,1263,MOL0041,0.4339622641509434,0.4339622641509434
CC1(C)Oc2c(Cl)cccc2NC1=O,CC1(C)Oc2ccccc2NC1=O,0.574468085106383,3.76445746421814,mmp,CC1(C)Oc2ccccc2NC1=O,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0059,0.38181818181818183,0.38181818181818183
CC1(C)Oc2c(F)cccc2NC1=O,CC1(C)Oc2ccccc2NC1=O,0.574468085106383,4.081005573272705,mmp,CC1(C)Oc2ccccc2NC1=O,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0060,0.38181818181818183,0.38181818181818183
CC1(C)COc2ccccc2NC1=O,CC1(C)Oc2ccccc2NC1=O,0.6666666666666666,3.284454584121704,sim,CC1(C)Oc2ccccc2NC1=O,"[('O=C1CCOc2ccccc2N1', 195)]",O=C1CCOc2ccccc2N1,195,MOL0002,0.3508771929824561,0.3508771929824561
CC1(C)Oc2c(cccc2[N+](=O)[O-])NC1=O,CC1(C)Oc2ccccc2NC1=O,0.5192307692307693,5.364957332611084,mmp,CC1(C)Oc2ccccc2NC1=O,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0067,0.35,0.35
CC1(C)Oc2ccccc2NC1=O,O=C1Cc2cccc(F)c2N1,0.2407407407407407,3.608583450317383,scaffold,O=C1Cc2cccc(F)c2N1,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0038,0.34545454545454546,0.34545454545454546
CC1(C)Oc2ccccc2NC1=O,CC1(C)Oc2ccccc2N(O)C1=O,1.0,3.95694899559021,sim,CC1(C)Oc2ccccc2N(O)C1=O,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0008,0.34545454545454546,0.34545454545454546
COc1ccc2c(c1)NC(=O)C(C)(C)O2,CC1(C)Oc2ccccc2NC1=O,0.5714285714285714,4.183881759643555,sim,CC1(C)Oc2ccccc2NC1=O,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0011,0.3389830508474576,0.3389830508474576
CC1(C)Oc2ccc(Cl)cc2NC1=O,CC1(C)Oc2ccccc2NC1=O,0.6086956521739131,3.2602410316467285,sim,CC1(C)Oc2ccccc2NC1=O,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0001,0.3333333333333333,0.3333333333333333
CC1(C)Oc2cc(Cl)ccc2NC1=O,CC1(C)Oc2ccccc2NC1=O,0.6086956521739131,3.400800466537476,sim,CC1(C)Oc2ccccc2NC1=O,"[('O=C1COc2ccccc2N1', 3381)]",O=C1COc2ccccc2N1,3381,MOL0003,0.3333333333333333,0.3333333333333333
