,SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,sim_to_lead,final_score,HYBRID receptor title,HYBRID receptor filename,HYBRID Chemgauss4 score,Dock Type,ID,ROMol
0,Fc1cc(Br)c2nc(NCC(F)(F)F)[nH]c2c1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.7272727272727273,2.8998098373413086,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,14.032573,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.032573,Hybrid,MOL0000,<rdkit.Chem.rdchem.Mol object at 0x7f64678ca5e0>
1,Fc1ccc2nc(NCC(F)(F)F)[nH]c2c1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.576271186440678,2.9615960121154785,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.17777777777777778,13.321363,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.321363,Hybrid,MOL0001,<rdkit.Chem.rdchem.Mol object at 0x7f64678cb8b0>
2,Fc1ccc2[nH]c(NCC(F)(F)F)nc2c1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.55,3.0209527015686035,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.17777777777777778,12.101057,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-12.101057,Hybrid,MOL0002,<rdkit.Chem.rdchem.Mol object at 0x7f64678c8580>
3,Fc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.7272727272727273,3.027014970779419,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,13.96727,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.96727,Hybrid,MOL0003,<rdkit.Chem.rdchem.Mol object at 0x7f64678c9a80>
4,Fc1cc(F)c2nc(NCC(F)(F)F)[nH]c2c1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.7272727272727273,3.654475450515747,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,13.654469,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.654469,Hybrid,MOL0004,<rdkit.Chem.rdchem.Mol object at 0x7f64678c94d0>
5,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.5833333333333334,3.6787633895874015,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,14.106841,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.106841,Hybrid,MOL0005,<rdkit.Chem.rdchem.Mol object at 0x7f64678cac70>
6,FC(F)(F)CNc1nc2cc(Cl)ccc2[nH]1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.4761904761904761,4.188185214996338,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.17777777777777778,12.06923,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-12.06923,Hybrid,MOL0006,<rdkit.Chem.rdchem.Mol object at 0x7f64678c80b0>
7,CCc1cccc2[nH]c(NCC(F)(F)F)nc12,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.6551724137931034,4.192636966705322,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.1978021978021978,13.462308,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.462308,Hybrid,MOL0007,<rdkit.Chem.rdchem.Mol object at 0x7f64678cae30>
8,FC(F)(F)CNc1nc2cc(Br)ccc2[nH]1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.4761904761904761,4.304755210876465,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.17777777777777778,12.004572,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-12.004572,Hybrid,MOL0008,<rdkit.Chem.rdchem.Mol object at 0x7f64678c9e70>
9,Cc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.7592592592592593,4.30477237701416,sim,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.17391304347826086,13.919388,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.919388,Hybrid,MOL0009,<rdkit.Chem.rdchem.Mol object at 0x7f64678c8c10>
