SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,sim_to_lead,final_score,HYBRID receptor title,HYBRID receptor filename,HYBRID Chemgauss4 score,Dock Type,ID,ROMol
Cc1cc(C(F)F)c2nc(NCC(F)(F)C(F)(F)F)[nH]c2c1,CCc1cc(C)cc2[nH]c(NCC(F)(F)C(F)(F)F)nc12,0.7014925373134329,4.1219635009765625,mmp,CCc1cc(C)cc2[nH]c(NCC(F)(F)C(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.15384615384615385,15.26624,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-15.26624,Hybrid,MOL0091,<rdkit.Chem.rdchem.Mol object at 0x7f64678cadc0>
FC(F)c1cc(Br)c2nc(NCC(F)(F)F)[nH]c2c1,Fc1cc(C(F)F)c2nc(NCC(F)(F)F)[nH]c2c1,0.6721311475409836,4.082150936126709,highsim,Fc1cc(C(F)F)c2nc(NCC(F)(F)F)[nH]c2c1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16494845360824742,15.178117,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-15.178117,Hybrid,MOL0046,<rdkit.Chem.rdchem.Mol object at 0x7f63c6aebf40>
Cc1cc(C2CC2)c2nc([C@H](O)C3CC3)[nH]c2c1,Cc1cc(C2CC2)c2nc(C(O)C3CC3)[nH]c2c1,1.0,2.603184700012207,highsim,Cc1cc(C2CC2)c2nc(C(O)C3CC3)[nH]c2c1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.13131313131313133,15.117726,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-15.117726,Hybrid,MOL0034,<rdkit.Chem.rdchem.Mol object at 0x7f63c6ae9e70>
CCc1cc(C#N)cc2[nH]c(NCC(F)(F)F)nc12,CCc1cc(Cl)cc2[nH]c(NCC(F)(F)F)nc12,0.7413793103448276,4.41801118850708,highsim,CCc1cc(Cl)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.22580645161290322,14.934464,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.934464,Hybrid,MOL0045,<rdkit.Chem.rdchem.Mol object at 0x7f646af59070>
CCc1cc(F)cc2[nH]c(NCC(F)(F)C(F)(F)F)nc12,CCc1cc(C)cc2[nH]c(NCC(F)(F)C(F)(F)F)nc12,0.8064516129032258,3.813965559005737,highsim,CCc1cc(C)cc2[nH]c(NCC(F)(F)C(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16831683168316833,14.906803,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.906803,Hybrid,MOL0043,<rdkit.Chem.rdchem.Mol object at 0x7f64678c98c0>
Cc1cc(C(F)F)c2nc(NCC(F)(F)F)[nH]c2c1,Fc1cc(C(F)F)c2nc(NCC(F)(F)F)[nH]c2c1,0.7894736842105263,4.452591419219971,mmp,Fc1cc(C(F)F)c2nc(NCC(F)(F)F)[nH]c2c1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16494845360824742,14.898928,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.898928,Hybrid,MOL0093,<rdkit.Chem.rdchem.Mol object at 0x7f63c6aea5e0>
CCc1cc(C#N)cc2[nH]c(NC(C)(C)C(F)(F)F)nc12,CCc1cc(C#N)cc2[nH]c(NCC(F)(F)F)nc12,0.6875,5.782036781311035,highsim,CCc1cc(C#N)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.20408163265306123,14.882421,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.882421,Hybrid,MOL0050,<rdkit.Chem.rdchem.Mol object at 0x7f63c6eeb450>
Fc1cc(C(F)F)c2nc(NCC(F)(F)F)[nH]c2c1,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,0.6666666666666666,4.444625377655029,mmp,CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.15306122448979592,14.806398,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.806398,Hybrid,MOL0083,<rdkit.Chem.rdchem.Mol object at 0x7f646f784120>
CCc1cc(Cl)cc2[nH]c(NCC(F)(F)F)nc12,CCc1cc(C#N)cc2[nH]c(NCC(F)(F)F)nc12,0.7413793103448276,4.098727703094482,sim,CCc1cc(C#N)cc2[nH]c(NCC(F)(F)F)nc12,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.18085106382978725,14.795711,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.795711,Hybrid,MOL0010,<rdkit.Chem.rdchem.Mol object at 0x7f646af5bf40>
OC(c1nc2c(C3CC3)cc(Cl)cc2[nH]1)C1CC1,Cc1cc(C2CC2)c2nc(C(O)C3CC3)[nH]c2c1,0.7857142857142857,2.8974528312683105,sim,Cc1cc(C2CC2)c2nc(C(O)C3CC3)[nH]c2c1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.12,14.786572,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.786572,Hybrid,MOL0001,<rdkit.Chem.rdchem.Mol object at 0x7f63c6aea650>
