SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,sim_to_lead,final_score,HYBRID receptor title,HYBRID receptor filename,HYBRID Chemgauss4 score,Dock Type,ID,ROMol
CCc1cc(F)cc2[nH]c(NCC(F)(F)F)nc12,Fc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,0.7272727272727273,3.1868183612823486,highsim,Fc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.18085106382978725,14.537344,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.537344,Hybrid,MOL0035,<rdkit.Chem.rdchem.Mol object at 0x7f646af5b140>
Fc1cc2[nH]c(NC3CC3)nc2c(F)c1F,Cc1c(F)cc2[nH]c(NC3CC3)nc2c1F,0.76,2.1340019702911377,highsim,Cc1c(F)cc2[nH]c(NC3CC3)nc2c1F,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.1276595744680851,14.484589,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.484589,Hybrid,MOL0028,<rdkit.Chem.rdchem.Mol object at 0x7f64678cb290>
CCc1cc(C)cc2[nH]c(NCC(F)(F)F)nc12,Cc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,0.7272727272727273,2.903212547302246,highsim,Cc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.18085106382978725,14.439441,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.439441,Hybrid,MOL0033,<rdkit.Chem.rdchem.Mol object at 0x7f646f785d90>
Clc1cccc2[nH]c(NC3CCC3)nc12,Fc1cc2nc(NC3CCC3)[nH]c2cc1Cl,0.543859649122807,3.9762253761291504,genscaffold,Fc1cc2nc(NC3CCC3)[nH]c2cc1Cl,"[('C1CCC1', 12595), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCC1,12595,0.14130434782608695,14.409788,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.409788,Hybrid,MOL0059,<rdkit.Chem.rdchem.Mol object at 0x7f646ae4ba70>
Cc1cc(Br)c2nc(C(O)C3CC3)[nH]c2c1,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C1CC1,0.76,4.645049571990967,highsim,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C1CC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.13978494623655913,14.23745,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.23745,Hybrid,MOL0040,<rdkit.Chem.rdchem.Mol object at 0x7f646a876730>
FC(F)(F)CNc1nc2c(Br)cc(Cl)cc2[nH]1,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,0.7692307692307693,3.443453073501587,highsim,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,14.228184,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.228184,Hybrid,MOL0027,<rdkit.Chem.rdchem.Mol object at 0x7f646f0bbd10>
N#Cc1cc(Cl)cc2[nH]c(NCC(F)(F)F)nc12,FC(F)(F)CNc1nc2c(Br)cc(Cl)cc2[nH]1,0.7272727272727273,4.695034027099609,highsim,FC(F)(F)CNc1nc2c(Br)cc(Cl)cc2[nH]1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.23333333333333334,14.198207,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.198207,Hybrid,MOL0039,<rdkit.Chem.rdchem.Mol object at 0x7f646f0b9000>
COc1cc(Br)cc2[nH]c(C(O)C3CC3)nc12,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C1CC1,0.7169811320754716,4.0997514724731445,highsim,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C1CC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.13541666666666666,14.183144,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.183144,Hybrid,MOL0038,<rdkit.Chem.rdchem.Mol object at 0x7f646a877060>
Cc1cc(Cl)c2nc(NCC(F)(F)C(F)(F)F)[nH]c2c1,Cc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,0.7678571428571429,3.866722583770752,highsim,Cc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16161616161616163,14.136177,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.136177,Hybrid,MOL0038,<rdkit.Chem.rdchem.Mol object at 0x7f646f7866c0>
COc1cc(Br)c2nc(C(O)C3CC3)[nH]c2c1,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C1CC1,0.7169811320754716,4.3389506340026855,highsim,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C1CC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.13541666666666666,14.135829,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.135829,Hybrid,MOL0039,<rdkit.Chem.rdchem.Mol object at 0x7f646a875230>
