,SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,sim_to_lead,final_score,HYBRID receptor title,HYBRID receptor filename,HYBRID Chemgauss4 score,Dock Type,ID,ROMol
0,Nc1nc2cccc(Cl)c2n1C1CCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.8723404255319149,3.252598524093628,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('C1CCC1', 12595), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCC1,12595,0.2235294117647059,10.868999,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.868999,Hybrid,MOL0000,<rdkit.Chem.rdchem.Mol object at 0x7f646f786340>
1,Cn1c(N)nc2cccc(Cl)c21,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.5192307692307693,3.2859718799591064,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.3380281690140845,9.161366,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-9.161366,Hybrid,MOL0001,<rdkit.Chem.rdchem.Mol object at 0x7f646f784510>
2,CC(C)n1c(N)nc2cccc(Cl)c21,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.4736842105263157,3.294192314147949,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.25,9.570791,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-9.570791,Hybrid,MOL0002,<rdkit.Chem.rdchem.Mol object at 0x7f646f7857e0>
3,Nc1nc2cccc(Cl)c2n1C1CCCCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.9387755102040816,3.3732006549835205,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CCCCC1', 77480)]",c1ccc2[nH]cnc2c1,43841,0.20652173913043478,10.07352,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.07352,Hybrid,MOL0003,<rdkit.Chem.rdchem.Mol object at 0x7f646f784c80>
4,Cc1cccc2nc(N)n(C3CCCC3)c12,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.7692307692307693,3.664096593856812,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('C1CCCC1', 30433), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCCC1,30433,0.2413793103448276,10.913128,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.913128,Hybrid,MOL0004,<rdkit.Chem.rdchem.Mol object at 0x7f646f785a80>
5,Nc1nc2cccc(Cl)c2n1C1CC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.8085106382978723,3.6747682094573975,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.23170731707317074,9.09668,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-9.09668,Hybrid,MOL0005,<rdkit.Chem.rdchem.Mol object at 0x7f646f785070>
6,Nc1nc2cccc(F)c2n1C1CCCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.7692307692307693,3.677734613418579,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('C1CCCC1', 30433), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCCC1,30433,0.21348314606741572,10.473338,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.473338,Hybrid,MOL0006,<rdkit.Chem.rdchem.Mol object at 0x7f646f787e60>
7,Nc1nc2cccc(F)c2n1C1CCCCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.7272727272727273,3.929831504821777,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CCCCC1', 77480)]",c1ccc2[nH]cnc2c1,43841,0.20652173913043478,10.944595,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.944595,Hybrid,MOL0007,<rdkit.Chem.rdchem.Mol object at 0x7f646f787530>
8,Nc1nc2cccc(Cl)c2n1C1CCCCCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.8846153846153846,4.199288845062256,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('C1CCCCCC1', 2594), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCCCCC1,2594,0.2,10.295208,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.295208,Hybrid,MOL0008,<rdkit.Chem.rdchem.Mol object at 0x7f646f786260>
9,Nc1nc2cccc(Cl)c2n1C1CCNC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.6727272727272727,4.218775749206543,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CCNC1', 112428)]",c1ccc2[nH]cnc2c1,43841,0.21348314606741572,11.081089,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-11.081089,Hybrid,MOL0009,<rdkit.Chem.rdchem.Mol object at 0x7f646f785e00>
10,Nc1nc2cccc(Cl)c2n1CC1CC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.5714285714285714,4.355663299560547,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.23809523809523808,10.212139,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.212139,Hybrid,MOL0010,<rdkit.Chem.rdchem.Mol object at 0x7f646f786730>
11,CCn1c(N)nc2cccc(Cl)c21,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.4909090909090909,4.400080680847168,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.2727272727272727,8.43402,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-8.43402,Hybrid,MOL0011,<rdkit.Chem.rdchem.Mol object at 0x7f646f786dc0>
12,Cc1ccc2nc(N)n(C3CCCC3)c2c1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.5862068965517241,4.413390159606934,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('C1CCCC1', 30433), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCCC1,30433,0.21348314606741572,10.583189,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.583189,Hybrid,MOL0012,<rdkit.Chem.rdchem.Mol object at 0x7f646f785540>
13,Nc1nc2cccc(Cl)c2n1CC1CCCCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.6333333333333333,4.458319664001465,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CCCCC1', 77480)]",c1ccc2[nH]cnc2c1,43841,0.2127659574468085,9.952801,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-9.952801,Hybrid,MOL0013,<rdkit.Chem.rdchem.Mol object at 0x7f63cb92cf20>
14,Nc1nc2cccc(Cl)c2n1C1CCCNC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.7272727272727273,4.508159637451172,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CCNCC1', 174309)]",c1ccc2[nH]cnc2c1,43841,0.20652173913043478,10.73104,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.73104,Hybrid,MOL0014,<rdkit.Chem.rdchem.Mol object at 0x7f646f7878b0>
15,Nc1nc2cc(Cl)ccc2n1C1CCCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.6428571428571429,4.534355163574219,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('C1CCCC1', 30433), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCCC1,30433,0.2,10.908678,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-10.908678,Hybrid,MOL0015,<rdkit.Chem.rdchem.Mol object at 0x7f646f786030>
16,Nc1nc2cccc(Cl)c2n1C1CCOCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.7272727272727273,4.582535743713379,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CCOCC1', 64272)]",c1ccc2[nH]cnc2c1,43841,0.20652173913043478,9.965495,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-9.965495,Hybrid,MOL0016,<rdkit.Chem.rdchem.Mol object at 0x7f646f784430>
17,Nc1nc2cccc(Cl)c2n1C1CCNCC1,Nc1nc2cccc(Cl)c2n1C1CCCC1,0.7272727272727273,4.610387802124023,sim,Nc1nc2cccc(Cl)c2n1C1CCCC1,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CCNCC1', 174309)]",c1ccc2[nH]cnc2c1,43841,0.20652173913043478,9.737005,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-9.737005,Hybrid,MOL0017,<rdkit.Chem.rdchem.Mol object at 0x7f646f7854d0>
