SMILES,Input_SMILES,Tanimoto,NLL
CC(C)(C)c1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.55,2.4250283241271973
Nc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,1.0,2.5435545444488525
CCc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.45,3.0042226314544678
CCNc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5813953488372093,3.0754494667053223
Nc1cc(CC(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.625,3.432559013366699
CC(C)c1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.42857142857142855,3.4645802974700928
Cc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4864864864864865,3.5690019130706787
CNc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.625,3.630521535873413
Nc1cc(C2CC2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4186046511627907,3.955704689025879
Nc1cc(C(F)(F)F)cnc1O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.47619047619047616,3.982856512069702
Nc1cc(C(F)(F)F)c(C(F)(F)F)[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.42,3.992049217224121
CCCNc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5434782608695652,4.083442687988281
Nc1cc(C(F)(F)F)cn(CC(F)(F)F)c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4230769230769231,4.100686073303223
CCCc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,,4.26838493347168
Nc1cc(C(F)(F)F)c(Cl)[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4186046511627907,4.472239017486572
CC(=O)Nc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4883720930232558,4.573166847229004
Nc1cc(C2CCC2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5555555555555556,4.669896602630615
Nc1ccc(C(F)(F)F)[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,,4.694057941436768
Nc1cc(C(F)(F)F)c(Br)[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,,4.8184494972229
CC(C)Nc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.391304347826087,4.82086706161499
CCC(C)c1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.47619047619047616,4.945770263671875
CC(C)CNc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4883720930232558,4.960265159606934
Cn1cc(C(F)(F)F)cc(N)c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5555555555555556,4.980536460876465
Nc1cc(-c2ccccc2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4,5.078171253204346
Nc1cc(C(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5208333333333334,5.1554131507873535
CCC(C)(C)c1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5238095238095238,5.1677985191345215
Cc1cc(N)c(=O)[nH]c1C(F)(F)F,Nc1cc(C(F)(F)F)c[nH]c1=O,,5.176281452178955
Nc1cc(C2(C(F)(F)F)CC2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.33962264150943394,5.195369720458984
CC(C)Cc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5,5.20449686050415
Nc1cc(C2CCCC2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5116279069767442,5.279037952423096
Nc1cc(-c2ccc(C(F)(F)F)cc2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4883720930232558,5.303257942199707
CCSc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5555555555555556,5.409395694732666
Nc1cc(C(F)(F)F)c([N+](=O)[O-])[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4,5.469062328338623
CCOC(=O)c1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.36,5.480874538421631
Nc1cc(Br)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5384615384615384,5.486168384552002
Nc1cc([N+](=O)[O-])c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4186046511627907,5.520590305328369
CC1(C)CN(c2cc(C(F)(F)F)c[nH]c2=O)C1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4375,5.555800437927246
CSc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.375,5.561864852905273
C#Cc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4864864864864865,5.6551642417907715
C[C@H](N)C(=O)Nc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.42857142857142855,5.7225117683410645
Cc1c[nH]c(=O)c(N)c1C(F)(F)F,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5,5.734196186065674
COC(=O)c1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.45,5.738680839538574
CC(C)(C)Cc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.45,5.785930156707764
Nc1cc(Cc2c[nH]c(=O)c(N)c2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5306122448979592,5.867295265197754
CN(C)c1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4883720930232558,5.8853044509887695
Nc1cc(CCC(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.4,5.906633377075195
CC1CN(c2cc(C(F)(F)F)c[nH]c2=O)C1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.41304347826086957,5.924924373626709
Nc1cc(C2(C(F)(F)F)CCC2)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,,5.9861578941345215
CC(C)(C)Nc1cc(C(F)(F)F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.3,5.99155855178833
Nc1cc(F)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.42857142857142855,6.001105785369873
CCc1c[nH]c(=O)c(N)c1C(F)(F)F,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5813953488372093,6.005970478057861
COc1c[nH]c(=O)c(N)c1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5208333333333334,6.027443885803223
CC1(c2c[nH]c(=O)c(N)c2)CC1,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5208333333333334,6.043713569641113
Nc1cc(Cl)c[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5319148936170213,6.050799369812012
Nc1cc(C(F)(F)F)c(F)[nH]c1=O,Nc1cc(C(F)(F)F)c[nH]c1=O,0.5277777777777778,6.059327125549316
